participant,session,date,expName,psychopyVersion,OS,frameRate,trials_attn_trial_1.thisRepN,trials_attn_trial_1.thisTrialN,trials_attn_trial_1.thisN,trials_attn_trial_1.thisIndex,trials_attn_trial_1.ran,trials_cont_trial_run.thisRepN,trials_cont_trial_run.thisTrialN,trials_cont_trial_run.thisN,trials_cont_trial_run.thisIndex,trials_cont_trial_run.ran,trials_redirect_trial_2.thisRepN,trials_redirect_trial_2.thisTrialN,trials_redirect_trial_2.thisN,trials_redirect_trial_2.thisIndex,trials_redirect_trial_2.ran,trials_attn_trial_2.thisRepN,trials_attn_trial_2.thisTrialN,trials_attn_trial_2.thisN,trials_attn_trial_2.thisIndex,trials_attn_trial_2.ran,trials_cont_trial_run_2.thisRepN,trials_cont_trial_run_2.thisTrialN,trials_cont_trial_run_2.thisN,trials_cont_trial_run_2.thisIndex,trials_cont_trial_run_2.ran,trials_cont_trial_run_3.thisRepN,trials_cont_trial_run_3.thisTrialN,trials_cont_trial_run_3.thisN,trials_cont_trial_run_3.thisIndex,trials_cont_trial_run_3.ran,trials_question.thisRepN,trials_question.thisTrialN,trials_question.thisN,trials_question.thisIndex,trials_question.ran,trials_fail_quiz.thisRepN,trials_fail_quiz.thisTrialN,trials_fail_quiz.thisN,trials_fail_quiz.thisIndex,trials_fail_quiz.ran
63d55a0ed568b46c67fd96fe,64104d48280894677990cbf3,2023-03-14_10h37.09.496,painpred,2022.2.4,iPhone,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63d55a0ed568b46c67fd96fe,64104d48280894677990cbf3,2023-03-14_10h37.09.496,painpred,2022.2.4,iPhone,58.82352941,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63d55a0ed568b46c67fd96fe,64104d48280894677990cbf3,2023-03-14_10h37.09.496,painpred,2022.2.4,iPhone,58.82352941,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63d55a0ed568b46c67fd96fe,64104d48280894677990cbf3,2023-03-14_10h37.09.496,painpred,2022.2.4,iPhone,58.82352941,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
63d55a0ed568b46c67fd96fe,64104d48280894677990cbf3,2023-03-14_10h37.09.496,painpred,2022.2.4,iPhone,58.82352941,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
63d55a0ed568b46c67fd96fe,64104d48280894677990cbf3,2023-03-14_10h37.09.496,painpred,2022.2.4,iPhone,58.82352941,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
63d55a0ed568b46c67fd96fe,64104d48280894677990cbf3,2023-03-14_10h37.09.496,painpred,2022.2.4,iPhone,58.82352941,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,
63d55a0ed568b46c67fd96fe,64104d48280894677990cbf3,2023-03-14_10h37.09.496,painpred,2022.2.4,iPhone,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,
63d55a0ed568b46c67fd96fe,64104d48280894677990cbf3,2023-03-14_10h37.09.496,painpred,2022.2.4,iPhone,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,
63d55a0ed568b46c67fd96fe,64104d48280894677990cbf3,2023-03-14_10h37.09.496,painpred,2022.2.4,iPhone,58.82352941,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63d55a0ed568b46c67fd96fe,64104d48280894677990cbf3,2023-03-14_10h37.09.496,painpred,2022.2.4,iPhone,58.82352941,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63d55a0ed568b46c67fd96fe,64104d48280894677990cbf3,2023-03-14_10h37.09.496,painpred,2022.2.4,iPhone,58.82352941,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
63d55a0ed568b46c67fd96fe,64104d48280894677990cbf3,2023-03-14_10h37.09.496,painpred,2022.2.4,iPhone,58.82352941,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
63d55a0ed568b46c67fd96fe,64104d48280894677990cbf3,2023-03-14_10h37.09.496,painpred,2022.2.4,iPhone,58.82352941,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
63d55a0ed568b46c67fd96fe,64104d48280894677990cbf3,2023-03-14_10h37.09.496,painpred,2022.2.4,iPhone,58.82352941,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,
63d55a0ed568b46c67fd96fe,64104d48280894677990cbf3,2023-03-14_10h37.09.496,painpred,2022.2.4,iPhone,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,
63d55a0ed568b46c67fd96fe,64104d48280894677990cbf3,2023-03-14_10h37.09.496,painpred,2022.2.4,iPhone,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,,,,,
63d55a0ed568b46c67fd96fe,64104d48280894677990cbf3,2023-03-14_10h37.09.496,painpred,2022.2.4,iPhone,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1
