participant,session,date,expName,psychopyVersion,OS,frameRate,trials_attn_trial_1.thisRepN,trials_attn_trial_1.thisTrialN,trials_attn_trial_1.thisN,trials_attn_trial_1.thisIndex,trials_attn_trial_1.ran,trials_cont_trial_run.thisRepN,trials_cont_trial_run.thisTrialN,trials_cont_trial_run.thisN,trials_cont_trial_run.thisIndex,trials_cont_trial_run.ran,trials_attn_trial_2.thisRepN,trials_attn_trial_2.thisTrialN,trials_attn_trial_2.thisN,trials_attn_trial_2.thisIndex,trials_attn_trial_2.ran,trials_cont_trial_run_2.thisRepN,trials_cont_trial_run_2.thisTrialN,trials_cont_trial_run_2.thisN,trials_cont_trial_run_2.thisIndex,trials_cont_trial_run_2.ran,trials_cont_trial_run_3.thisRepN,trials_cont_trial_run_3.thisTrialN,trials_cont_trial_run_3.thisN,trials_cont_trial_run_3.thisIndex,trials_cont_trial_run_3.ran,trials_question.thisRepN,trials_question.thisTrialN,trials_question.thisN,trials_question.thisIndex,trials_question.ran,trials_pass_quiz.thisRepN,trials_pass_quiz.thisTrialN,trials_pass_quiz.thisN,trials_pass_quiz.thisIndex,trials_pass_quiz.ran,mouse_slider.top,mouse_slider.bottom,mouse_slider.width,mouse_slider.height,mouse_slider.x,mouse_slider.y,mouse_slider.time,trials_attn.thisRepN,trials_attn.thisTrialN,trials_attn.thisN,trials_attn.thisIndex,trials_attn.ran,trials_fail.thisRepN,trials_fail.thisTrialN,trials_fail.thisN,trials_fail.thisIndex,trials_fail.ran
5f68ab4c63355d0008d69ab5,64119fbc844e0038e3373196,2023-03-15_10h37.57.288,painpred,2022.2.4,Win32,59.97361161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f68ab4c63355d0008d69ab5,64119fbc844e0038e3373196,2023-03-15_10h37.57.288,painpred,2022.2.4,Win32,59.97361161,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f68ab4c63355d0008d69ab5,64119fbc844e0038e3373196,2023-03-15_10h37.57.288,painpred,2022.2.4,Win32,59.97361161,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f68ab4c63355d0008d69ab5,64119fbc844e0038e3373196,2023-03-15_10h37.57.288,painpred,2022.2.4,Win32,59.97361161,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f68ab4c63355d0008d69ab5,64119fbc844e0038e3373196,2023-03-15_10h37.57.288,painpred,2022.2.4,Win32,59.97361161,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f68ab4c63355d0008d69ab5,64119fbc844e0038e3373196,2023-03-15_10h37.57.288,painpred,2022.2.4,Win32,59.97361161,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f68ab4c63355d0008d69ab5,64119fbc844e0038e3373196,2023-03-15_10h37.57.288,painpred,2022.2.4,Win32,59.97361161,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
5f68ab4c63355d0008d69ab5,64119fbc844e0038e3373196,2023-03-15_10h37.57.288,painpred,2022.2.4,Win32,59.97361161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,
