,mean,std,cv,IQR,prediction,confidence,accuracy,nstate,hmmscore,log,aic,bic
MSK,-0.7154879414720878,-0.2184018398561852,0.3520667738868088,-0.22921593039521,-0.5764464860508779,0.2795987959962881,0.21373879568468634,-0.21741753119803858,-0.017607850865976146,-0.005042438694609063,-0.01428974083163468,-0.050839334179604505
BPI Severity,0.765883967916604,0.13426028907179363,-0.48918674130961143,0.13179047308735847,0.7463472319474479,-0.23249517837442765,-0.4170293857656056,0.0644379571553681,-0.012633479496722139,0.009466651896487842,-0.0018320833168400505,0.012511812521914165
BPI Interference,0.8057663029381212,0.27936049053410167,-0.4497525654682932,0.282099703449244,0.633039179684383,-0.24289618194055657,-0.2441418570444105,0.08670968748764549,-0.029666468755013536,0.045755807112212284,-0.03126963988220039,-0.005025106287108692
sTarT total,0.7675619815316139,0.21350474482993068,-0.34484483816223244,0.13569732428029702,0.566171827096065,-0.07176505528020201,-0.276191518781381,-0.01291607620670907,-0.07666269785750174,0.044606399235337546,-0.041121187744638826,-0.03223125173470697
sTarT sub,0.7460239373688964,0.1755996872806859,-0.3457592677546139,0.10391235885433457,0.5287484984799363,-0.015415998584058104,-0.2290344253588443,-0.06107987894640554,-0.18427670200681412,0.12493901594833977,-0.1212665040255283,-0.11107431993690962
PCS total,0.5554425179020692,0.2941782483979314,-0.23717938829324872,0.4559101388274234,0.4459865558576365,-0.1475121364731197,0.018259013986252088,0.32063203272585744,0.19401248859594095,-0.17480561733265557,0.19569256952038855,0.2330707359145845
PCS Rumination,0.46940873957084206,0.3302705635681646,-0.1329924922393136,0.2721723641753225,0.29171723438933017,-0.23557377670934135,-0.2838361857121321,0.10825582365451898,0.04100746990168558,-0.14061121524866854,0.14383834600828008,0.14915738240406953
PCS Magnification,0.599654474175737,0.31883272242384075,-0.2706097228375416,0.2920147923821246,0.3450981263657512,-0.41467291602728085,-0.294142767568869,0.17588578168228722,-0.039143701054797295,0.04330316935297502,-0.022240641420028014,0.018941394404634264
PCS Helplessness,0.6376553109584543,0.3197219148304282,-0.2865822470793165,0.5044236845833906,0.49816188785454796,-0.13536040681801753,0.04864823262521231,0.3373742324760113,0.21784000092455896,-0.15432657195118063,0.17873732381456464,0.2228193198428933
GAD7,0.47800420613631056,0.2317126893118238,-0.07517632826025387,0.07354501845301972,0.24326636235605514,-0.36313625851933795,-0.33430314155261853,-0.013834610093315235,-0.24096541147304323,0.18723412978420556,-0.1772215539444781,-0.15524334714184118
PHQ8,0.4219624538811795,0.2103029915546946,-0.012882214485644887,0.008840286039324843,0.1972517929379423,-0.14846897245833207,-0.2361618043540346,-0.0008909562212993358,-0.3383262611463466,0.2859182041821128,-0.27016259571449047,-0.23448563681467569
