,mean,std,cv,IQR,prediction,confidence,accuracy,nstate_D1,hmmscore_D1,log_D1,aic_D1,bic_D1,nstate_D2,hmmscore_D2,log_D2,aic_D2,bic_D2,nstate_D2_D1,hmmscore_D2_D1,log_D2_D1,aic_D2_D1,bic_D2_D1
mean,1.0,0.062132575810421434,-0.5426007089080356,0.23187057050783988,0.8927686065625222,0.0614619143098391,0.04246452068424836,0.3244753989111204,0.28508747303281284,-0.2740110263587055,0.29075147478787144,0.3177220362623331,0.2592554270767005,0.30159720922788913,-0.19171775659402673,0.21723581760084795,0.2539987151321721,0.017461377603958536,0.07572658926265466,0.11057365855052717,-0.09721787331957961,-0.07036536872353877
std,0.062132575810421434,1.0,0.4359524334571382,0.8349066547433923,-0.08608292309949332,-0.004790594224857718,-0.4288775497120725,0.02725901819767789,-0.0009064707619537436,0.09437091482217441,-0.08842215566996917,-0.07761193061039802,-0.1200242248419585,0.17595052534933747,-0.15712902619397492,0.1333198905263785,0.089461072001464,-0.18936198950089844,0.2584828108376676,-0.33427694117567613,0.31312327285270464,0.25476271940617845
cv,-0.5426007089080356,0.4359524334571382,1.0,0.09129157195780124,-0.5373816293212482,0.01655279605120921,-0.3184554408162131,-0.2931153150321958,-0.20500062380312137,0.22710107366963178,-0.24905497362527568,-0.2854215088035144,-0.44044188065928025,-0.2223199071544566,0.1764693786706089,-0.21883545059132492,-0.28804349349238695,-0.2933195965537668,-0.062420174233415324,-0.06831904426076094,0.036695366050757516,-0.030664112854777725
IQR,0.23187057050783988,0.8349066547433923,0.09129157195780124,1.0,0.12462224658842071,-0.16092093497983292,-0.343216719443798,0.14425009932024188,0.10968567450254472,-0.03403450007742728,0.04778558757061452,0.06997212042589723,0.06590961945124153,0.2034519299410227,-0.20388348378898352,0.19995265083231473,0.1884173662153702,-0.058643313850330774,0.15697543338455053,-0.22527143360031207,0.2176117332801008,0.19224045440284226
prediction,0.8927686065625222,-0.08608292309949332,-0.5373816293212482,0.12462224658842071,1.0,-0.17708175849442573,-0.10954483533280851,0.4037654319498089,0.36395678002546306,-0.29955122980087534,0.3169902074578574,0.3445799245889221,0.2729243318940579,0.2717733090407984,-0.16458763443420382,0.19233633785082033,0.23395508824954822,-0.04513216601845818,-0.06896315523958244,0.18060793167357478,-0.16928298010082118,-0.14141186334067046
confidence,0.0614619143098391,-0.004790594224857718,0.01655279605120921,-0.16092093497983292,-0.17708175849442573,1.0,0.24920159883317247,-0.4864588483713929,-0.535712826170113,0.3983399601565733,-0.4187464979048083,-0.44777565613824893,-0.39240783938593143,-0.3825524961733581,0.36664497193040885,-0.37763746632559225,-0.3855516594163705,-0.031195024857622083,0.12706323451178445,-0.04402615778439787,0.04790201719506558,0.05591548158757136
accuracy,0.04246452068424836,-0.4288775497120725,-0.3184554408162131,-0.343216719443798,-0.10954483533280851,0.24920159883317247,1.0,-0.17453616948240783,-0.3586415980739267,0.3312539168940259,-0.31778991460692907,-0.2880053134829434,-0.0011415378313270228,-0.21164380535940247,0.15985240322765173,-0.14726968214606512,-0.12215416225239614,0.17673779247831922,0.15008876657601541,-0.22912739461978512,0.2344922849240352,0.2332739556157702
nstate_D1,0.3244753989111204,0.02725901819767789,-0.2931153150321958,0.14425009932024188,0.4037654319498089,-0.4864588483713929,-0.17453616948240783,1.0,0.7979138812600464,-0.6466200771195597,0.6951843383743549,0.7743950106724357,0.6745002584963583,0.6170224853525127,-0.5683588010980106,0.6015106919497037,0.6454444545861986,-0.1137260916829315,-0.12017808998057417,0.10705332128666802,-0.11568510201799907,-0.130162437935794
hmmscore_D1,0.28508747303281284,-0.0009064707619537436,-0.20500062380312137,0.10968567450254472,0.36395678002546306,-0.535712826170113,-0.3586415980739267,0.7979138812600464,1.0,-0.9164917189997243,0.9329674187570859,0.9472818067962708,0.6888416264532683,0.7419517105941428,-0.6787365007853411,0.7015574091112142,0.7246459416944955,0.11198733347220682,-0.19645316304330523,0.3200742469077429,-0.3055713161351975,-0.2609844003929348
log_D1,-0.2740110263587055,0.09437091482217441,0.22710107366963178,-0.03403450007742728,-0.29955122980087534,0.3983399601565733,0.3312539168940259,-0.6466200771195597,-0.9164917189997243,1.0,-0.9970701151507083,-0.9762350301161727,-0.7108862851244484,-0.7203513635006747,0.7172365334711864,-0.7412429484027582,-0.7664228950712795,-0.296187176018908,0.12102449493378915,-0.380223627544855,0.3386796919455827,0.23818232906938205
aic_D1,0.29075147478787144,-0.08842215566996917,-0.24905497362527568,0.04778558757061452,0.3169902074578574,-0.4187464979048083,-0.31778991460692907,0.6951843383743549,0.9329674187570859,-0.9970701151507083,1.0,0.9899278547730486,0.7283741624925969,0.7320510094707351,-0.7223024238692336,0.7484838521677787,0.7772408263685151,0.2701166923735795,-0.12502830056651082,0.36959652251889963,-0.3324748189626345,-0.24141653837802632
bic_D1,0.3177220362623331,-0.07761193061039802,-0.2854215088035144,0.06997212042589723,0.3445799245889221,-0.44777565613824893,-0.2880053134829434,0.7743950106724357,0.9472818067962708,-0.9762350301161727,0.9899278547730486,1.0,0.7508739536666003,0.7427503343934744,-0.7205367506297186,0.7504870716410696,0.7856995561455657,0.21948812418643537,-0.12772525269582707,0.3441835006246824,-0.3155557166673269,-0.24300948658189053
nstate_D2,0.2592554270767005,-0.1200242248419585,-0.44044188065928025,0.06590961945124153,0.2729243318940579,-0.39240783938593143,-0.0011415378313270228,0.6745002584963583,0.6888416264532683,-0.7108862851244484,0.7283741624925969,0.7508739536666003,1.0,0.7255351508071992,-0.6285419164969929,0.6911953634795708,0.7851174249620906,0.6567765118628022,0.17829705325128015,0.11278861859720525,-0.03450305798201386,0.12354981077140172
hmmscore_D2,0.30159720922788913,0.17595052534933747,-0.2223199071544566,0.2034519299410227,0.2717733090407984,-0.3825524961733581,-0.21164380535940247,0.6170224853525127,0.7419517105941428,-0.7203513635006747,0.7320510094707351,0.7427503343934744,0.7255351508071992,1.0,-0.9050009285500836,0.9202855808734146,0.9274059275224342,0.3461319170710904,0.5116295800344046,-0.2415430011831787,0.28616438850118003,0.35865149582720607
log_D2,-0.19171775659402673,-0.15712902619397492,0.1764693786706089,-0.20388348378898352,-0.16458763443420382,0.36664497193040885,0.15985240322765173,-0.5683588010980106,-0.6787365007853411,0.7172365334711864,-0.7223024238692336,-0.7205367506297186,-0.6285419164969929,-0.9050009285500836,1.0,-0.9958104705232731,-0.969022642555363,-0.2653118712750268,-0.45370914415327535,0.3717838219771722,-0.40719134583057665,-0.456675643087303
aic_D2,0.21723581760084795,0.1333198905263785,-0.21883545059132492,0.19995265083231473,0.19233633785082033,-0.37763746632559225,-0.14726968214606512,0.6015106919497037,0.7015574091112142,-0.7412429484027582,0.7484838521677787,0.7504870716410696,0.6911953634795708,0.9202855808734146,-0.9958104705232731,1.0,0.9875224627052586,0.31576411054936915,0.44681670192282075,-0.33424166648412174,0.3765756222430752,0.44150666999179594
