,mean,std,cv,IQR,prediction,confidence,accuracy,nstate_D1,hmmscore_D1,log_D1,aic_D1,bic_D1,nstate_D2,hmmscore_D2,log_D2,aic_D2,bic_D2,nstate_D2_D1,hmmscore_D2_D1,log_D2_D1,aic_D2_D1,bic_D2_D1
MSK,-0.7130951812187809,-0.11569383400064444,0.36577724190637195,-0.27854466375595965,-0.6746899869542672,0.11064253000810484,-0.012534549581150073,-0.35828505611160366,-0.15803603889586465,0.10283763481473639,-0.12795437520887923,-0.17287946534094445,-0.17381084463321927,-0.3164501284027784,0.26453031198554766,-0.2750895477030522,-0.2873855747327509,-0.1126568261922653,0.22568361137465254,-0.004195340983351671,-0.0017571795709491163,-0.02528456484294383
BPI Severity,0.7272877696852028,-0.0006697515928527015,-0.47159372086346346,0.20915557213322167,0.8139279137941391,-0.09474566202718708,-0.07281024140222436,0.19474144583304548,0.13158570667030242,-0.09184809745391141,0.10718112217886455,0.134245347362051,0.11364910488328764,0.024473121489794067,-0.013133078975100115,0.03481562296739408,0.07165717219200522,0.057893274458114555,-0.033365975102662516,0.03487795656354945,0.03822984424094041,0.06898872081633065
BPI Interference,0.7670385412171706,0.16047091253022058,-0.45137165343870944,0.36303267902973796,0.7234173407603949,-0.06023814802992021,0.0183508375573024,0.2652058863360622,0.15367604347250396,-0.12190395811088688,0.1431692790359854,0.17933788241023046,0.17780623048548844,0.08844208761733795,-0.06324024404605018,0.08696219002264115,0.12501906115800732,0.15799847105424614,-0.030890607918194958,0.17368760980863104,0.16221459142639857,0.14757335203403676
sTarT total,0.7679758045185108,0.1247919339828882,-0.3201113064001322,0.2225365346166216,0.6297296063030989,0.08692239061776308,0.11229511562192201,0.1535552553595237,0.10953945789919042,-0.12057031808558023,0.12914037177503987,0.14426457604448026,0.16121417154837198,0.15633701553967466,-0.08219386291497756,0.10149164785694907,0.13265472656595653,0.031052143631695086,-0.09611401759874645,0.14714263118179435,0.13287405714327472,0.1079285724290301
sTarT sub,0.7039371484966814,0.0783128326051421,-0.31074371415223684,0.18883548200994646,0.5521030057149675,0.16207595996883023,0.21242567604305462,0.11189951273222863,-0.02181299742268495,-0.026940245582119274,0.03666073027050809,0.05568359445294921,0.11678261057308421,0.11177548923489031,-0.09622982967779103,0.1119448913949307,0.137708652385859,0.018899911217875598,-0.0758129960129202,0.0937752445271767,0.08559139759929076,0.06799843214143597
PCS total,0.6394511314806363,0.30604266617398107,-0.24893505866490723,0.4682207808674245,0.5068675956937506,-0.14422042224360343,0.04067802344137485,0.3382253550417511,0.18689571231838692,-0.16009738587557226,0.18393647745818614,0.22548225695462187,0.20061501119648456,0.25173099053862463,-0.2869993074777781,0.29250655371848566,0.2950346500913695,0.21293975241633953,-0.15606425609493194,0.15758733163741281,0.16424607417957623,0.16523766054948916
PCS Rumination,0.508697253699589,0.3127179196256665,-0.13122046329641177,0.3918977110842207,0.3714523197879672,-0.10233603223056885,0.02169053624430541,0.2629791787548053,0.11476184483134355,-0.1393591443515092,0.15592732944688956,0.18443358275514576,0.1372570095617419,0.161658219038409,-0.2628007317474015,0.26038504150739716,0.25120748667185855,0.18082870876627147,-0.13160282861185021,0.13616360177331707,0.13206556268471034,0.11231457836833028
PCS Magnification,0.5447072704054178,0.18953250040728511,-0.2572495675589821,0.404280925903722,0.41197247116095115,-0.23740634191001106,0.14104477876469482,0.3239824874781271,0.16072353454824406,-0.12036359258690903,0.1467393310128256,0.19405727035747206,0.21500800308342743,0.24635023343303927,-0.2651595225670176,0.27480056813656406,0.28343236782047415,0.21983816801468795,-0.18317643540208264,0.06677452738211966,0.09219089833914595,0.12323641835540644
PCS Helplessness,0.7230442445535109,0.3258510506954734,-0.3123990122411857,0.5113915683232284,0.6079576788201008,-0.11706107182326174,0.0025935925900700623,0.36978032834339836,0.2374686572349411,-0.17932234035222538,0.2052189964111398,0.24998364587423863,0.22303989326796875,0.2996734902959191,-0.2871042768322984,0.2963056106001772,0.3048740693711385,0.2129769362908513,-0.14607564899791017,0.20251233193231144,0.20786393779130155,0.2105433296380852
GAD7,0.32370634533869347,0.09734474975949053,-0.04632391290774914,0.15818422650130912,0.2826611859310005,-0.14970816813331544,0.02227595435517017,0.18557601068470206,-0.06691879448357914,0.04981366219792487,-0.03204921148087719,0.0019615130920962124,0.010809723977157855,-0.07816348893098031,0.02732482328378811,-0.024612463613190264,-0.020058975165824684,0.12350964981305873,0.039029064429748975,0.136251757120803,0.14888502685797025,0.15388861998115302
PHQ8,0.32597452897065105,0.0996551853687355,0.027985738780520887,0.07418506288623505,0.22147220820684965,0.09401018254596927,0.23489932319479132,0.10618362877767308,-0.25379325900462085,0.2559354204567824,-0.23023857005607684,-0.17792797871041569,-0.20738940304387182,-0.23103687682434157,0.21858878305436538,-0.22149234102312557,-0.22336979909153207,0.09677772895183877,0.049184897940544724,0.012242758804399907,0.04981089107846677,0.11360501700062893
