,mean,std,cv,IQR,prediction,confidence,accuracy,nstate_D1,hmmscore_D1,log_D1,aic_D1,bic_D1,nstate_D2,hmmscore_D2,log_D2,aic_D2,bic_D2,nstate_D2_D1,hmmscore_D2_D1,log_D2_D1,aic_D2_D1,bic_D2_D1
mean,1.0,0.7488274954686229,0.0023575128845819025,0.22615791940537225,7.549579738552351e-11,0.7514537301489957,0.8268698041883472,0.08592302717502975,0.13386865668377776,0.15032470492211297,0.12598069476991583,0.09304226094379238,0.17443987736897587,0.1118378206205047,0.3191046974261711,0.25764485630146683,0.18365473273610358,0.9283644473365958,0.6962233650421215,0.567985726661886,0.6158809722902444,0.716820669160567
std,0.7488274954686229,1.0,0.018076363158657877,1.7883039916326805e-08,0.6570387529665287,0.9803234263680609,0.020262551381727282,0.8883731704427811,0.9962764779509965,0.6263025437232855,0.6483052943929941,0.689029118546911,0.5351475412228658,0.36124526114281713,0.4156334396835444,0.4905360331461227,0.6444410298763767,0.32519973228800425,0.17577342722856393,0.0763385241467766,0.09813975887569032,0.18229476431504701
cv,0.0023575128845819025,0.018076363158657877,1.0,0.6376545086774807,0.002645848167885601,0.932083178093792,0.09224820326227676,0.12279172170484577,0.28606972219279514,0.23612066866525852,0.19262631159664098,0.1333937025018814,0.01679292673554657,0.24639739363117308,0.35980840407587056,0.25407040728798824,0.12970822142907698,0.12251895089878928,0.7477021319292207,0.7247348962854243,0.8501072383408721,0.8745320795939531
IQR,0.22615791940537225,1.7883039916326805e-08,0.6376545086774807,1.0,0.5195044254109729,0.40432492783916746,0.06833397178897417,0.4553300553945229,0.5711172956642289,0.860867621040038,0.805562791296863,0.718339374242831,0.7340890564821783,0.2898047029497046,0.28876082837763656,0.2983573826943224,0.3276636645238119,0.762520449579722,0.4160951747608633,0.24001899962052345,0.2568019148291287,0.31776195502277615
prediction,7.549579738552351e-11,0.6570387529665287,0.002645848167885601,0.5195044254109729,1.0,0.3581169075088001,0.5716146909713092,0.029845428540968947,0.05226922320983879,0.11441097158514969,0.09383975776980007,0.06717283249407398,0.1520141551250414,0.1538184352840023,0.39355691362979767,0.31751602262110207,0.22189387700841592,0.8161717988489169,0.7222407384836897,0.3484691303671882,0.3800101813101916,0.46434066274828
confidence,0.7514537301489957,0.9803234263680609,0.932083178093792,0.40432492783916746,0.3581169075088001,1.0,0.19235593437390744,0.007454475228690438,0.0027442297674929827,0.03233504110343415,0.023767608397429797,0.014858992170389615,0.03524637295808943,0.04054628237801402,0.05042622538857365,0.04341766604717,0.038870100004582915,0.8723771739138171,0.5112913317373708,0.8206033961203293,0.8050980358884039,0.773274591274785
accuracy,0.8268698041883472,0.020262551381727282,0.09224820326227676,0.06833397178897417,0.5716146909713092,0.19235593437390744,1.0,0.3651792254861699,0.056069314030612015,0.07920240637275518,0.09296855253304613,0.12976134688168287,0.9953108992182316,0.2703979223126834,0.40749387168608087,0.44584661043622836,0.527873442008674,0.3590664180980737,0.4370895587534333,0.23185283159788556,0.22080386181852205,0.2232811681976298
nstate_D1,0.08592302717502975,0.8883731704427811,0.12279172170484577,0.4553300553945229,0.029845428540968947,0.007454475228690438,0.3651792254861699,1.0,2.1687852694347122e-07,0.00015064590135078774,2.8460452670400762e-05,8.244222680038363e-07,6.00707381859585e-05,0.0003636288529480844,0.001297111867648845,0.0005576252507348905,0.00015628761933707066,0.5569314202237722,0.5346204731049516,0.5804457997690289,0.5501121817646903,0.500956562484279
hmmscore_D1,0.13386865668377776,0.9962764779509965,0.28606972219279514,0.5711172956642289,0.05226922320983879,0.0027442297674929827,0.056069314030612015,2.1687852694347122e-07,1.0,2.981882908272766e-12,1.6945694367349546e-13,7.20803058080732e-15,3.6016257013724534e-05,4.095399719602898e-06,5.179650770407969e-05,2.2329583164430973e-05,8.7784280159241e-06,0.5630163082746678,0.30706784756684047,0.09051369772720964,0.10696312238680356,0.17148148315742912
log_D1,0.15032470492211297,0.6263025437232855,0.23612066866525852,0.860867621040038,0.11441097158514969,0.03233504110343415,0.07920240637275518,0.00015064590135078774,2.981882908272766e-12,1.0,1.0995531502183664e-31,1.8235701354933185e-19,1.547730464565545e-05,1.0515200033434532e-05,1.1961825470369162e-05,4.230195157355631e-06,1.251328917465269e-06,0.11873694037778425,0.5317255210830474,0.041887285898587465,0.07231081753709652,0.21341432197671553
