,mean,std,cv,IQR,prediction,confidence,accuracy,nstate_D1,hmmscore_D1,log_D1,aic_D1,bic_D1,nstate_D2,hmmscore_D2,log_D2,aic_D2,bic_D2,nstate_D2_D1,hmmscore_D2_D1,log_D2_D1,aic_D2_D1,bic_D2_D1
MSK,1.4161393193720274e-05,0.5500818731479926,0.05101543211477055,0.14342197009445734,5.9676364311624185e-05,0.5677431684532322,0.9485451755483618,0.05633178423084981,0.4129125782233014,0.5955237783626399,0.5083089714737025,0.36981921206835316,0.3672064306670483,0.09443160593078842,0.1655253654832259,0.14866135178128811,0.13062590956734757,0.5606698003472397,0.23913708122086194,0.9827679466025485,0.9927820781693986,0.8964139573010236
BPI Severity,7.842774916287702e-06,0.9972488481646492,0.009806407378545911,0.276201480192852,7.877293549882522e-08,0.6249266580078726,0.7074025765911152,0.31138566297851905,0.4962457059387951,0.635596842239981,0.5799913497162328,0.48750272756974017,0.5572001993278759,0.8997214460076793,0.9460916379132706,0.8577061919211606,0.7118392456092948,0.7654731723157092,0.8635750069600273,0.8574540019852683,0.8439137248514808,0.7221417994539108
BPI Interference,1.2123531279170154e-06,0.40565786032883544,0.013980576439151819,0.052914900503093554,9.246814042502583e-06,0.7562528461822734,0.92472540766433,0.16440745689838743,0.4260826209009153,0.5287254607983451,0.4587503632887911,0.35192593609382977,0.35612189850670306,0.6482310726943612,0.7444960154198078,0.6537507723896386,0.5181649231320838,0.41302507643957437,0.8736126560910092,0.3675515148396881,0.4005070084092028,0.4448988026001934
sTarT total,1.1551225093752036e-06,0.518931416029375,0.09047428128183259,0.24592547909861923,0.00025184940114616496,0.6538994642253716,0.5619370064768743,0.4264507374610708,0.5716336860601129,0.5332780064627598,0.5043532166169334,0.45528433520282297,0.4034577149342455,0.4180174622715163,0.6716562410180791,0.6003731065796077,0.49272209001147727,0.8729570238120038,0.619913225066824,0.44624348077821396,0.49200071779663546,0.577336631464867
sTarT sub,2.0363101236816434e-05,0.6863612662042069,0.10085857731211789,0.3265716556059149,0.0019016668491595283,0.4009151658335864,0.2685906928388556,0.5633244427371114,0.9105754995140254,0.8896706315339349,0.8502471386205527,0.7741907046005897,0.546308833982466,0.5637597315061861,0.6194896681792672,0.5631652141676252,0.4762365978319806,0.9224797242541491,0.6958930768213344,0.6284920749700785,0.658879528679199,0.7259774157270678
PCS total,0.0001880619742162617,0.1063956618966999,0.19284763077258854,0.010418996284235238,0.005014793733201857,0.4554237887510437,0.8340512646629666,0.07271869498070775,0.3316566638658536,0.4067660958606849,0.3395065500967322,0.23956764058266664,0.2967264206579399,0.18773309462988347,0.13116689653545893,0.12360723453066003,0.12024647582586133,0.2674067208076759,0.4188402472799553,0.41425736651464634,0.39455299737894983,0.391665231394829
PCS Rumination,0.004834000063783403,0.09859895981420871,0.497452489650556,0.03550626810699873,0.04725867587812914,0.5973289844251796,0.9110755696427537,0.16811249344564938,0.5533211670035232,0.47091531526725566,0.4192536281755088,0.33818010143718863,0.4776981158212608,0.4021464985551625,0.16841195003699505,0.17250298891764093,0.18868346848314813,0.3478703053450238,0.4961891702899887,0.48124594656941894,0.4946624776209267,0.5618687880471587
PCS Magnification,0.002249056997628692,0.324756190375526,0.17791685629091208,0.02961719930321972,0.026376701496648516,0.21495412279729406,0.4655128470439151,0.08642815815334262,0.404909308435911,0.5339853588495773,0.4475045294609648,0.31312200853116534,0.2626775607577128,0.1976611663637852,0.16448400563943735,0.14910572576420583,0.1362402047457936,0.2518464697282616,0.3415406787168115,0.7307268424158504,0.6343307074283447,0.5241956612953832
PCS Helplessness,9.393433245336333e-06,0.08452516860241478,0.09896136682110862,0.004577898732430482,0.0004680936742916505,0.545345802580217,0.9893465272187277,0.04834193349685058,0.21483019165571815,0.3519683646956211,0.2855455526712509,0.19091828164059513,0.24483124069799558,0.11425598589368484,0.13101971978319024,0.11858261669237256,0.10780668333545086,0.2673212138758325,0.44958389908326585,0.29208574942148474,0.27924543235357363,0.2729548712576286
GAD7,0.08671213256039223,0.6154182048500153,0.8114028629782725,0.412468992263321,0.13735559058271543,0.438266344149593,0.9086853186814389,0.33514362561497923,0.730166495968635,0.7974766655995617,0.8689120171370129,0.9919427680711529,0.9556182107173886,0.6869294073234807,0.8881053670824757,0.8991533613140487,0.9177411453770589,0.5232691140915209,0.840691462730507,0.4809594044209605,0.44081730904060457,0.42543519281030245
PHQ8,0.08440055074759394,0.6070165267986142,0.8854163483100489,0.7021249037744085,0.2482498236786716,0.6276281335382865,0.21998036349068528,0.583542528301055,0.1840216615614396,0.1802210217094807,0.22953454244335256,0.3557872851784269,0.2803691351259871,0.22787863745849168,0.2546194629106903,0.24820572230932705,0.24411581775233687,0.6174874649931748,0.79998145797324,0.9497414749535233,0.797487700543731,0.5573541473668012
